coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
5563901,"Steven P. McLaughlin",1986-03-08,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:4f225c4b-4f2b-4162-a21b-94627b5b6627,"2012-09-06 15:37:14"
5563903,"J. E. Bowers, 1984",1979-03-25,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:934f9224-092f-42fe-bc95-e6e967a20a74,"2023-07-16 05:07:11"
5563903,"J. E. Bowers, 1984",s.d.,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:1f0d177f-edac-460a-bdf2-0fe2b33dfb2d,"2012-09-06 15:37:14"
5563904,"R.J. Barr",1968-03-20,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:5694f673-d910-4529-899b-0c7e52d1d6eb,"2012-09-06 15:37:14"
5563906,"S.P. McLaughlin",1988-03-19,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:d8e79d42-237d-4788-a64b-7a1252c93b5e,"2012-09-06 15:37:14"
5563907,"J.E. Bowers",1983-12-01,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:ec622974-9363-40cd-8363-c61abe0e2c0b,"2012-09-06 15:37:14"
5563908,"K. Reichhardt",1985-03-25,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:0d944d20-69ce-413e-8d6b-2df37006b656,"2012-09-06 15:37:14"
5563909,"J.J. Thornber",1908-04-01,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:81e33253-b145-4ef7-b2e9-ef1ad5bfef0e,"2012-09-06 15:37:14"
5563910,"L. Swingle",1916-03-01,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:c7911a87-7f88-450b-a68f-bb9f7d40f9ad,"2012-09-06 15:37:14"
5563911,"J.J. Thornber",1906-12-01,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:38226027-5b2c-4563-adea-732e390ce901,"2012-09-06 15:37:14"
5563913,"J.J. Thornber",1906-07-14,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:c016498d-b165-482e-ac62-40f08743bf6b,"2012-09-06 15:37:14"
5563921,"Steven P. McLaughlin",1986-04-05,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:006fb997-adec-496a-9b93-46379acb82f8,"2012-09-06 15:37:14"
5563922,"J.J. Thornber",1905-05-07,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:7c5708e5-a810-4bb0-95a4-7a0ee4180d1b,"2012-09-06 15:37:14"
5563925,"J.E. Bowers",1983-12-01,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:271b5a2a-f2c2-4e89-845e-867339d24697,"2012-09-06 15:37:14"
5563926,"J.E. Bowers",1983-04-08,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:b7d616c8-4448-41b9-8ef7-08403acb3a99,"2012-09-06 15:37:14"
5563928,"J.J. Thornber",1903-02-28,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:0c727170-090a-45a7-9950-dd0758909a38,"2012-09-06 15:37:14"
5563930,"R. Strandberg",1966-03-27,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:e5cc399b-fd93-4dbb-b989-7fa53624df99,"2012-09-06 15:37:14"
